serial,address,postalcode,city,country,description,latitude,longitude,group,alias
0000000006dd41f6,Munkkisaarenlaituri,00150,Helsinki,Finland,Hernesaari LHC,60.14951,24.92138,hernesaari,
000000000f4919c9,Mannerheimintie 22-24,00100,Helsinki,Finland,Amos Rex,60.17065,24.93641,default,
0000000019fb59c4,Tyynenmerenkatu 8,00220,Helsinki,Finland,Lansiterminaali 1,60.15432,24.9211,lansiterminaali,
00000000342570c2,Sibeliuksen puisto,00250,Helsinki,Finland,Sibelius Monumentti,60.18203,24.91341,default,
0000000038bf9618,Mattolaituri,00140,Helsinki,Finland,Kaivopuiston ranta,60.1538,24.95595,default,
0000000038d83d41,Pakkahuoneenlaituri,00100,Helsinki,Finland,Pakkahuoneenlaituri,60.16544,24.95398,default,
000000004ef3150d,Tyynenmerenkatu 14,00180,Helsinki,Finland,Lansiterminaali 2,60.14947,24.91438,lansiterminaali,
0000000053c6c2be,"Katajanokanlaituri, valopylvas",00160,Helsinki,Finland,Katajanokan laituri 2,60.16448,24.97323,katajanokka,
00000000675d5200,paasisaankaynti,00530,Helsinki,Finland,Hakaniemen kauppahalli 1,60.17918,24.95141,default,
000000006b087f40,Kaivokatu 2,00100,Helsinki,Finland,Ateneum,60.17002,24.94407,default,
000000006b44cce7,Etelaranta,00170,Helsinki,Finland,Kauppatori,60.16762,24.95415,default,
0000000074f765a7,Toolonlahdenranta 1,00100,Helsinki,Finland,Oodi,60.17368,24.9381,default,
000000007b5207b6,Torikadun sisaankaynti,00530,Helsinki,Finland,Hakaniemen kauppahalli 2,60.17919,24.95181,default,
0000000096918cfa,Lutherinkatu 3,00100,Helsinki,Finland,Temppeliaukion kirkko,60.173,24.92524,default,
00000000a53ed894,Hernesaarenlaituri,00150,Helsinki,Finland,Hernesaari LHD,60.14699,24.922,hernesaari,
00000000aa852af1,Alexanterinkatu 24,00170,Helsinki,Finland,Senaatintori lantinen,60.16897,24.95222,default,
00000000afef4555,Pohjoisespa 41,00100,Helsinki,Finland,Stockmann,60.16829,24.94214,default,
00000000b33a8357,Narikkatorin sisaankaynti,00100,Helsinki,Finland,Kamppi,60.169,24.93288,default,
00000000cd16b8ef,Alexanterinkatu 20,00170,Helsinki,Finland,Senaatintori itainen,60.16899,24.95337,default,
00000000d747f075,Katajanokanlaituri 8,00160,Helsinki,Finland,Katajanokan terminaali,60.1638,24.96846,katajanokka,
00000000e8a064a4,Munkkisaarenlaituri,00150,Helsinki,Finland,Hernesaari LHB,60.15133,24.92329,hernesaari,
00000000f1124bca,Olympiaranta 1,00100,Helsinki,Finland,Olympiaterminaali,60.16075,24.95883,olympia,
00000000fb7600be,Katajanokka,00160,Helsinki,Finland,Katajanokan laituri,60.16629,24.95957,katajanokka,
00000000fdda10fe,Erottajankatu 11,00130,Helsinki,Finland,Dianapuisto,60.16531,24.9442,default,
00000000fffb8cf0,Paalaituri,00190,Helsinki,Finland,Suomenlinna,60.149,24.9843,default,
